name,category,address_std,gu,sigu,lat,lng,is_valid_location,COL_ADM_SE,station,station_exit,station_detail,source_file
달리는토끼(달토),룸싸롱/하퍼/셔츠룸/레깅스룸,서울특별시 강남구 역삼동 604-11,강남구,서울특별시 강남구,37.5058335,127.0313162,True,11230.0,,,,f_clean_roomhubs_seoul.csv
Gallery,가라오케,서울특별시 관악구 신림동 1640-30,관악구,서울특별시 관악구,37.483453,126.9285665,True,11210.0,,,,f_clean_roomhubs_seoul.csv
달리는토끼,룸싸롱/하퍼/셔츠룸/레깅스룸,서울특별시 강남구 봉은사로 150,강남구,서울특별시 강남구,37.5061222,127.0311805,True,11230.0,,,,f_clean_roomhubs_seoul.csv
BAR11,BAR/위스키바,서울특별시 서초구 서초대로78길 46,서초구,서울특별시 서초구,37.4936205,127.0285351,True,11220.0,,,,f_clean_roomhubs_seoul.csv
쩜오 구구단 악어대표,쩜오,서울특별시 강남구 테헤란로 111 대건빌딩 지하1층,강남구,서울특별시 강남구,37.4987197,127.0293613,True,11230.0,,,,f_clean_roomhubs_seoul.csv
다국적 노래클럽,노래주점/유흥주점,,강서구,,,,False,11160.0,,,서울 등촌역삼거리,f_clean_roomhubs_seoul.csv
헤븐납득이,룸싸롱/하퍼/셔츠룸/레깅스룸,서울특별시 송파구 가락동 74,송파구,서울특별시 송파구,37.4965107,127.121105,True,11240.0,,,,f_clean_roomhubs_seoul.csv
Boss,룸싸롱/하퍼/셔츠룸/레깅스룸,서울특별시 송파구 오금로11길 29-14,송파구,서울특별시 송파구,37.5158666,127.1103839,True,11240.0,,,,f_clean_roomhubs_seoul.csv
일프로/텐.쩜오 라임미녀실장,일프로/텐프로/텐카페,서울특별시 강남구 테헤란로 111,강남구,서울특별시 강남구,37.4988934,127.0292682,True,11230.0,,,,f_clean_roomhubs_seoul.csv
핫플레이스 하퍼비트,룸싸롱/하퍼/셔츠룸/레깅스룸,서울특별시 강남구 삼성동 145,강남구,서울특별시 강남구,37.5128028,127.0537382,True,11230.0,,,,f_clean_roomhubs_seoul.csv
524 가라오케,가라오케,서울특별시 강남구 대치동 894번지 지하1층,강남구,서울특별시 강남구,37.5043014,127.0548091,True,11230.0,,,,f_clean_roomhubs_seoul.csv
신림다국적,노래주점/유흥주점,서울특별시 관악구 신림역사거리,관악구,서울특별시 관악구,,,False,11210.0,,,,f_clean_roomhubs_seoul.csv
17프로 스타킹,룸싸롱/하퍼/셔츠룸/레깅스룸,서울특별시 중구 북창동 42-3,중구,서울특별시 중구,37.5636718,126.9777912,True,11020.0,,,,f_clean_roomhubs_seoul.csv
바일레븐,BAR/위스키바,서울특별시 서초구 서초대로78길 46,서초구,서울특별시 서초구,37.4936205,127.0285351,True,11220.0,,,,f_clean_roomhubs_seoul.csv
루이스바,BAR/위스키바,서울특별시 강남구 테헤란로 421,강남구,서울특별시 강남구,37.5060054,127.0525284,True,11230.0,,,,f_clean_roomhubs_seoul.csv
플랜비 강남텐카페,일프로/텐프로/텐카페,,강남구,서울특별시 강남구,,,False,11230.0,,,서울시 강남구,f_clean_roomhubs_seoul.csv
강남퍼펙트하이텐퍼블릭,룸싸롱/하퍼/셔츠룸/레깅스룸,서울특별시 강남구 논현로 645,강남구,서울특별시 강남구,37.5109129,127.0309883,True,11230.0,,,,f_clean_roomhubs_seoul.csv
쩜오 썸데이 한대표,쩜오,서울특별시 강남구 역삼동 831,강남구,서울특별시 강남구,,,False,11230.0,,,,f_clean_roomhubs_seoul.csv
셔츠&퍼블릭,룸싸롱/하퍼/셔츠룸/레깅스룸,서울특별시 중구 을지로 109,중구,서울특별시 중구,37.5664966,126.990095,True,11020.0,,,,f_clean_roomhubs_seoul.csv
하이퍼블릭&란제리,룸싸롱/하퍼/셔츠룸/레깅스룸,서울특별시 강남구 역삼동 625-24,강남구,서울특별시 강남구,37.5040605,127.031837,True,11230.0,,,,f_clean_roomhubs_seoul.csv
웰빙 셔츠&퍼블릭,룸싸롱/하퍼/셔츠룸/레깅스룸,서울특별시 중구 을지로3가,중구,서울특별시 중구,37.5663261,126.9922084,True,11020.0,,,,f_clean_roomhubs_seoul.csv
CNN 24시 셔츠룸 금별대표,룸싸롱/하퍼/셔츠룸/레깅스룸,서울특별시 강남구 삼성동 143-27,강남구,서울특별시 강남구,37.5070809,127.0543849,True,11230.0,,,,f_clean_roomhubs_seoul.csv
베리엔굿,룸싸롱/하퍼/셔츠룸/레깅스룸,서울특별시 강남구 역삼동 718-14,강남구,서울특별시 강남구,37.5007624,127.0393423,True,11230.0,,,,f_clean_roomhubs_seoul.csv
